record_id	source_record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
V2-P049	G049	10.1007/s11136-025-03996-x	corpus/330-PHD/doi_10.1007_s11136-025-03996-x.md	5e7dd427dd3e9ecb19ee3957b0623b7b932aa6d983274de82d67e97340ed5464	69560	input/projects/330-PHD/papers/doi_10.1007_s11136-025-03996-x.xml	4187e1a2aa3a7028440f8c06dbabab66a6bc004d300c682e9dd5cc57b10a94f8	110919	frozen 209-paper JATS corpus
V2-P050	G050	10.1007/s11136-025-04038-2	corpus/1485-RA/doi_10.1007_s11136-025-04038-2.md	168d53aed9f5436771a17e2560de98f312835ceea2df0b76cf64f31f8de92608	76716	input/projects/1485-RA/papers/doi_10.1007_s11136-025-04038-2.xml	72cb8d821a04fbf467fe9454fbfed23a0bb06c5c6702a9ab2bfdfc719c731965	166981	frozen 209-paper JATS corpus
V2-P051	G051	10.1007/s11136-025-04074-y	corpus/367-RA/doi_10.1007_s11136-025-04074-y.md	228dc3ca0c53db29e5f6de64f2702c80bcdf1e110f3a67319d213c77b3859e02	90076	input/projects/367-RA/papers/doi_10.1007_s11136-025-04074-y.xml	438ef38e9f2a2b06ce82352668ff77eef7aca23e006beb12fab66f8cdb935e72	253284	frozen 209-paper JATS corpus
V2-P052	G052	10.1007/s11136-026-04229-5	corpus/1572-RA/doi_10.1007_s11136-026-04229-5.md	2edd82f5849a21778052e471312bd497b678bf45b8c0eb51d166cbb68f175bb4	98062	input/projects/1572-RA/papers/doi_10.1007_s11136-026-04229-5.xml	1a748073e9280046e6ab2ac4581f27084752a92fecab8dea4eee537ad13c45ae	160623	frozen 209-paper JATS corpus
V2-P053	G053	10.1007/s12311-024-01657-2	corpus/349-RA/doi_10.1007_s12311-024-01657-2.md	ba3549249f6cd84bf6aea4d81fd2cf43e6024a192e0c9ede4d0451c2ffb36a93	64795	input/projects/349-RA/papers/doi_10.1007_s12311-024-01657-2.xml	d029d75e937db21cdff3a68256c2396eea25d5313d16cec76016baf6776485c2	136457	frozen 209-paper JATS corpus
V2-P054	G054	10.1007/s40271-024-00708-4	corpus/304-PHD/doi_10.1007_s40271-024-00708-4.md	88a8fbfa8c75bcf902b77e17a48a32df69935d546d0db120706f518d4569bf76	53929	input/projects/304-PHD/papers/doi_10.1007_s40271-024-00708-4.xml	012ed970044d1a6ebd382dca9671722067f86c0e8cacc3cf605058a166509c3a	81290	frozen 209-paper JATS corpus
V2-P055	G055	10.1007/s40271-025-00749-3	corpus/1559-RA/doi_10.1007_s40271-025-00749-3.md	9b7d8c90c5ec3545b24746ae62fa16778a3e6e71881d4d2579a9100f9586e981	56703	input/projects/1559-RA/papers/doi_10.1007_s40271-025-00749-3.xml	d4780eff97f947e21d29b348313d6374e6c51434b0aa93471d30b45f78177f22	95817	frozen 209-paper JATS corpus
V2-P056	G056	10.1007/s40273-021-01100-y	corpus/20180130/doi_10.1007_s40273-021-01100-y.md	06530b94e4e1d06f6722be7b04dff4bddc1770ac22632530caa38a12f6bc002e	97000	input/projects/20180130/papers/doi_10.1007_s40273-021-01100-y.xml	73118fd045e08db3406618a11410914b5bf9be004a5eaa97f1b6c67d08222c4b	179684	frozen 209-paper JATS corpus
V2-P057	G057	10.1007/s40273-023-01330-2	corpus/330-PHD/doi_10.1007_s40273-023-01330-2.md	e3f4d0bd6f863263d5ebbd6d686f2c609c332258f6ab3ec7adf43a6456b827db	107588	input/projects/330-PHD/papers/doi_10.1007_s40273-023-01330-2.xml	8b6a711e67e55615414e2fd9b93d9a9a9b54ec4bf98c1b2058ff01adb71b09d7	173833	frozen 209-paper JATS corpus
V2-P058	G058	10.1007/s40273-025-01509-9	corpus/1481-PHD/doi_10.1007_s40273-025-01509-9.md	65bc5d505dd76602e7ef66d79eac4d25c762181392e8ac0d7446177fb4c82590	113841	input/projects/1481-PHD/papers/doi_10.1007_s40273-025-01509-9.xml	f37c5f0e585874113a536406297b8e13842c8fb953a0a102a4114fcd4e7d5889	214719	frozen 209-paper JATS corpus
