project_id,project_title,principal_investigator,working_group,start_year,publication_id,doi,publication_title,publication_year,journal
1598-RA,"Using EQ-5D-Y to measure the health of patients for multiple paediatric health conditions: a project to validate the self-complete, interviewer-administered and proxy administered versions of EQ-5D-Y-3L and EQ-5D-Y-5L in China",Zhihao Yang,"Descriptive Systems, Youth",2024,doi:10.1136/bmjopen-2025-102509,10.1136/bmjopen-2025-102509,Validation of EuroQol instruments in paediatric patients and their caregivers in China: protocol for a prospective observational study,2025,BMJ Open
1599-RA,Can EQ-5D capture the impact of climate change? A study of the health impact of heatwaves,Nan Luo,"Descriptive Systems, EQ-HWB",2023,doi:10.1016/j.jval.2025.11.005,10.1016/j.jval.2025.11.005,Impact of Heatwaves on Health-Related Quality of Life in Older Chinese Adults: A Longitudinal Cohort Study,2025,Value in Health
1599-RA,Can EQ-5D capture the impact of climate change? A study of the health impact of heatwaves,Nan Luo,"Descriptive Systems, EQ-HWB",2023,doi:10.1186/s12955-026-02521-z,10.1186/s12955-026-02521-z,"Validity and responsiveness of the EQ-5D-5L, EQ-HWB and EQ-HWB-9 to measure health and wellbeing impact of heatwaves among older adults",2026,Health and Quality of Life Outcomes
1601-RA,Testing the performance and psychometric properties of six bolt-ons in general population and patients with myasthenia gravis,Dewilde Sarah,Descriptive Systems,2023,doi:10.1016/j.jval.2025.09.009,10.1016/j.jval.2025.09.009,"Comparing Psychometric Properties of 6 of the 5-Level and 3-Level EQ-5D Bolt-Ons in a Large, Multinational, Longitudinal General Population Sample",2025,Value in Health
1602-RA,"The effect of perspective, duration and views on life after death on valuation of severe states of EQ-5D-Y-3L",Arthur Attema,"Valuation, Youth",2023,doi:10.1016/j.jval.2025.11.004,10.1016/j.jval.2025.11.004,"The Effect of Perspective, Duration, and Views on Death on the Valuation of Severe Health States",2025,Value in Health
1605-RA,"Back to basics: a qualitative review to disentangle the concepts of health related quality of life, quality of life and wellbeing, and how the EuroQol family of instruments as well as commonly used generic measures capture these concepts",Federico Augustovski,Descriptive Systems,2023,doi:10.1017/s0266462325103127,10.1017/s0266462325103127,"PP95 Conceptual Mapping Of Health-Related Quality Of Life, Quality Of Life, And Well-Being: A Systematic Review",2025,International Journal of Technology Assessment in Health Care
1606-RA,Examining whether the covid-19 pandemic has affected the Danish general population’s preferences for health,Cathrine Elgaard Jensen,Valuation,2023,doi:10.1016/j.jval.2025.05.014,10.1016/j.jval.2025.05.014,Stability of Danish Population Health Preferences Over Time,2025,Value in Health
1612-RA,Impact of demographic change on expected value set redundancy,Marcel Jonker,Valuation,2023,doi:10.1007/s11136-024-03770-5,10.1007/s11136-024-03770-5,The impact of demographic change on value set validity and obsolescence,2024,Quality of Life Research
1627-RA,Health-related quality of life in patients with COVID-19: a protocol for systematic review and meta-analysis of EQ-5D studies,Kidu Gidey,Populations and Health Systems,2023,doi:10.1186/s12955-025-02421-8,10.1186/s12955-025-02421-8,Health-related quality of life in COVID-19 patients: a systematic review and meta-analysis of EQ-5D studies,2025,Health and Quality of Life Outcomes
164-RA,Can adding routinely collected EQ-5D-5L administrative data improve predictions about who will be a high-cost user of healthcare?,Stirling Bryan,Populations and Health Systems,2020,doi:10.1007/s11136-025-04008-8,10.1007/s11136-025-04008-8,"Can patient-reported data improve predictions about who will be a high-need, high-cost patient in British Columbia?",2025,Quality of Life Research
